,RIAGENDR,RIDAGEMN,RIDRETH1,HIGHEST_EDUCATION,RETIRED
2028,1.0,69.0,2.0,ELEMENTARY,0.0
2030,1.0,16.0,1.0,ELEMENTARY,0.0
2032,1.0,20.0,1.0,ELEMENTARY,0.0
2037,2.0,45.0,4.0,ELEMENTARY,0.0
2053,1.0,39.0,2.0,ELEMENTARY,0.0
2067,2.0,1.0,1.0,ELEMENTARY,0.0
2072,2.0,7.0,4.0,ELEMENTARY,0.0
2077,1.0,1.0,3.0,ELEMENTARY,0.0
2078,1.0,54.0,4.0,ELEMENTARY,0.0
2083,1.0,61.0,3.0,ELEMENTARY,0.0
2085,1.0,7.0,1.0,ELEMENTARY,0.0
2091,1.0,31.0,3.0,ELEMENTARY,0.0
2107,1.0,62.0,1.0,ELEMENTARY,0.0
2121,2.0,4.0,3.0,ELEMENTARY,0.0
2123,2.0,15.0,1.0,ELEMENTARY,0.0
2125,2.0,9.0,4.0,ELEMENTARY,0.0
2128,2.0,20.0,4.0,ELEMENTARY,0.0
2131,2.0,54.0,1.0,ELEMENTARY,0.0
2137,1.0,245.0,3.0,HIGHSCHOOL,0.0
2140,1.0,24.0,2.0,ELEMENTARY,0.0
2141,2.0,772.0,3.0,OTHERS,0.0
2142,2.0,97.0,4.0,ELEMENTARY,0.0
2146,2.0,462.0,3.0,COLLEGE,0.0
2149,1.0,181.0,1.0,ELEMENTARY,0.0
2161,2.0,31.0,1.0,ELEMENTARY,0.0
2165,1.0,55.0,5.0,ELEMENTARY,0.0
2166,2.0,21.0,1.0,ELEMENTARY,0.0
2170,2.0,7.0,1.0,ELEMENTARY,0.0
2171,1.0,199.0,4.0,ELEMENTARY,0.0
2172,1.0,6.0,3.0,ELEMENTARY,0.0
2174,2.0,7.0,3.0,ELEMENTARY,0.0
2177,1.0,8.0,3.0,ELEMENTARY,0.0
2183,1.0,16.0,1.0,ELEMENTARY,0.0
2186,2.0,44.0,4.0,ELEMENTARY,0.0
2187,2.0,21.0,1.0,ELEMENTARY,0.0
2191,2.0,45.0,3.0,ELEMENTARY,0.0
2195,2.0,9.0,5.0,ELEMENTARY,0.0
2199,1.0,7.0,3.0,ELEMENTARY,0.0
2206,1.0,54.0,1.0,ELEMENTARY,0.0
2207,2.0,176.0,4.0,ELEMENTARY,0.0
2209,1.0,11.0,1.0,ELEMENTARY,0.0
2212,2.0,59.0,3.0,ELEMENTARY,0.0
2213,2.0,30.0,1.0,ELEMENTARY,0.0
2214,1.0,62.0,4.0,ELEMENTARY,0.0
2215,2.0,10.0,4.0,ELEMENTARY,0.0
2216,2.0,2.0,1.0,ELEMENTARY,0.0
2223,1.0,27.0,4.0,ELEMENTARY,0.0
2226,1.0,22.0,3.0,ELEMENTARY,0.0
2227,1.0,11.0,1.0,ELEMENTARY,0.0
2242,1.0,15.0,1.0,ELEMENTARY,0.0
2246,2.0,1.0,3.0,ELEMENTARY,0.0
2251,1.0,37.0,3.0,ELEMENTARY,0.0
2255,1.0,62.0,4.0,ELEMENTARY,0.0
2261,2.0,2.0,4.0,ELEMENTARY,0.0
2271,1.0,3.0,1.0,ELEMENTARY,0.0
2274,1.0,281.0,3.0,OTHERS,0.0
2278,1.0,43.0,1.0,ELEMENTARY,0.0
2280,2.0,58.0,1.0,ELEMENTARY,0.0
2281,1.0,57.0,4.0,ELEMENTARY,0.0
2290,2.0,39.0,5.0,ELEMENTARY,0.0
2294,1.0,64.0,1.0,ELEMENTARY,0.0
2295,2.0,47.0,4.0,ELEMENTARY,0.0
2300,2.0,15.0,1.0,ELEMENTARY,0.0
2304,2.0,29.0,3.0,ELEMENTARY,0.0
2306,1.0,56.0,1.0,ELEMENTARY,0.0
2313,2.0,51.0,1.0,ELEMENTARY,0.0
2329,2.0,38.0,1.0,ELEMENTARY,0.0
2332,1.0,6.0,5.0,ELEMENTARY,0.0
2333,1.0,54.0,4.0,ELEMENTARY,0.0
2335,1.0,211.0,5.0,ELEMENTARY,0.0
2336,1.0,63.0,3.0,ELEMENTARY,0.0
2345,1.0,42.0,3.0,ELEMENTARY,0.0
2346,2.0,471.0,3.0,HIGHSCHOOL,0.0
2353,2.0,10.0,1.0,ELEMENTARY,0.0
2354,2.0,6.0,1.0,ELEMENTARY,0.0
2355,1.0,15.0,4.0,ELEMENTARY,0.0
2359,1.0,2.0,5.0,ELEMENTARY,0.0
2366,1.0,5.0,1.0,ELEMENTARY,0.0
2368,1.0,20.0,2.0,ELEMENTARY,0.0
2371,1.0,16.0,1.0,ELEMENTARY,0.0
2372,1.0,56.0,4.0,ELEMENTARY,0.0
2384,2.0,9.0,1.0,ELEMENTARY,0.0
2386,1.0,24.0,1.0,ELEMENTARY,0.0
2388,1.0,731.0,1.0,ELEMENTARY,0.0
2394,2.0,5.397605346934028e-79,3.0,ELEMENTARY,0.0
2395,1.0,70.0,1.0,ELEMENTARY,0.0
2410,1.0,52.0,3.0,ELEMENTARY,0.0
2420,1.0,294.0,1.0,HIGHSCHOOL,0.0
2428,2.0,46.0,1.0,ELEMENTARY,0.0
2437,2.0,1068.0,3.0,OTHERS,1.0
2444,1.0,1.0,1.0,ELEMENTARY,0.0
2445,1.0,42.0,1.0,ELEMENTARY,0.0
2453,2.0,44.0,3.0,ELEMENTARY,0.0
2459,2.0,53.0,2.0,ELEMENTARY,0.0
2466,2.0,60.0,1.0,ELEMENTARY,0.0
2471,1.0,291.0,3.0,COLLEGE,0.0
2472,1.0,58.0,3.0,ELEMENTARY,0.0
2474,2.0,34.0,1.0,ELEMENTARY,0.0
2475,1.0,487.0,2.0,OTHERS,0.0
2476,1.0,31.0,3.0,ELEMENTARY,0.0
2486,2.0,24.0,3.0,ELEMENTARY,0.0
2495,2.0,60.0,3.0,ELEMENTARY,0.0
2496,2.0,16.0,4.0,ELEMENTARY,0.0
2499,2.0,9.0,3.0,ELEMENTARY,0.0
2501,1.0,36.0,3.0,ELEMENTARY,0.0
2509,1.0,32.0,1.0,ELEMENTARY,0.0
2511,1.0,17.0,3.0,ELEMENTARY,0.0
2523,2.0,9.0,1.0,ELEMENTARY,0.0
2524,1.0,53.0,1.0,ELEMENTARY,0.0
2527,2.0,51.0,1.0,ELEMENTARY,0.0
2528,2.0,452.0,3.0,COLLEGE,0.0
2537,1.0,16.0,1.0,ELEMENTARY,0.0
2544,1.0,44.0,4.0,ELEMENTARY,0.0
2545,2.0,39.0,3.0,ELEMENTARY,0.0
2551,1.0,244.0,1.0,OTHERS,0.0
2556,1.0,593.0,1.0,ELEMENTARY,0.0
2558,2.0,33.0,1.0,ELEMENTARY,0.0
2559,2.0,34.0,5.0,ELEMENTARY,0.0
2562,1.0,31.0,3.0,ELEMENTARY,0.0
2565,1.0,26.0,1.0,ELEMENTARY,0.0
2570,1.0,60.0,4.0,ELEMENTARY,0.0
2574,2.0,55.0,1.0,ELEMENTARY,0.0
2576,2.0,43.0,5.0,ELEMENTARY,0.0
2577,1.0,128.0,3.0,ELEMENTARY,0.0
2578,2.0,57.0,1.0,ELEMENTARY,0.0
2579,1.0,34.0,3.0,ELEMENTARY,0.0
2580,1.0,22.0,1.0,ELEMENTARY,0.0
2583,2.0,27.0,4.0,ELEMENTARY,0.0
2587,1.0,973.0,1.0,ELEMENTARY,1.0
2589,1.0,311.0,2.0,ELEMENTARY,0.0
2590,2.0,28.0,1.0,ELEMENTARY,0.0
2596,1.0,16.0,3.0,ELEMENTARY,0.0
2597,1.0,245.0,1.0,HIGHSCHOOL,0.0
2622,1.0,27.0,3.0,ELEMENTARY,0.0
2625,2.0,31.0,1.0,ELEMENTARY,0.0
2631,1.0,17.0,4.0,ELEMENTARY,0.0
2632,2.0,58.0,3.0,ELEMENTARY,0.0
2633,1.0,60.0,1.0,ELEMENTARY,0.0
2636,2.0,5.0,1.0,ELEMENTARY,0.0
2637,2.0,44.0,4.0,ELEMENTARY,0.0
2642,1.0,812.0,3.0,HIGHSCHOOL,1.0
2645,1.0,19.0,1.0,ELEMENTARY,0.0
2649,2.0,52.0,4.0,ELEMENTARY,0.0
2658,1.0,55.0,3.0,ELEMENTARY,0.0
2664,1.0,68.0,5.0,ELEMENTARY,0.0
2667,1.0,7.0,1.0,ELEMENTARY,0.0
2677,2.0,6.0,1.0,ELEMENTARY,0.0
2680,2.0,6.0,1.0,ELEMENTARY,0.0
2684,1.0,203.0,1.0,ELEMENTARY,0.0
2693,1.0,44.0,3.0,ELEMENTARY,0.0
2695,1.0,622.0,3.0,OTHERS,0.0
2699,2.0,13.0,4.0,ELEMENTARY,0.0
2702,1.0,6.0,3.0,ELEMENTARY,0.0
2705,1.0,926.0,3.0,OTHERS,1.0
2710,2.0,12.0,2.0,ELEMENTARY,0.0
2716,2.0,6.0,1.0,ELEMENTARY,0.0
2722,2.0,583.0,4.0,OTHERS,0.0
2732,1.0,6.0,1.0,ELEMENTARY,0.0
2735,1.0,36.0,5.0,ELEMENTARY,0.0
2738,1.0,2.0,1.0,ELEMENTARY,0.0
2741,2.0,54.0,2.0,ELEMENTARY,0.0
2742,2.0,25.0,1.0,ELEMENTARY,0.0
2746,2.0,29.0,1.0,ELEMENTARY,0.0
2748,1.0,59.0,4.0,ELEMENTARY,0.0
2751,1.0,1.0,1.0,ELEMENTARY,0.0
2754,1.0,356.0,4.0,ELEMENTARY,0.0
2756,1.0,4.0,1.0,ELEMENTARY,0.0
2760,1.0,9.0,1.0,ELEMENTARY,0.0
2764,1.0,47.0,1.0,ELEMENTARY,0.0
2766,2.0,1.0,2.0,ELEMENTARY,0.0
2769,2.0,15.0,1.0,ELEMENTARY,0.0
2770,1.0,1.0,3.0,ELEMENTARY,0.0
2771,2.0,14.0,4.0,ELEMENTARY,0.0
2776,1.0,55.0,3.0,ELEMENTARY,0.0
2778,1.0,2.0,1.0,ELEMENTARY,0.0
2782,1.0,12.0,1.0,ELEMENTARY,0.0
2796,1.0,603.0,4.0,OTHERS,0.0
2806,2.0,23.0,3.0,ELEMENTARY,0.0
2810,2.0,5.397605346934028e-79,4.0,ELEMENTARY,0.0
2812,1.0,36.0,1.0,ELEMENTARY,0.0
2813,2.0,42.0,1.0,ELEMENTARY,0.0
2816,1.0,240.0,1.0,ELEMENTARY,0.0
2819,1.0,22.0,5.0,ELEMENTARY,0.0
2835,2.0,22.0,2.0,ELEMENTARY,0.0
2837,2.0,8.0,1.0,ELEMENTARY,0.0
2843,1.0,9.0,3.0,ELEMENTARY,0.0
2846,2.0,7.0,1.0,ELEMENTARY,0.0
2853,1.0,177.0,4.0,ELEMENTARY,0.0
2864,1.0,21.0,3.0,ELEMENTARY,0.0
2869,1.0,16.0,1.0,ELEMENTARY,0.0
2870,1.0,17.0,1.0,ELEMENTARY,0.0
2872,2.0,11.0,5.0,ELEMENTARY,0.0
2891,1.0,31.0,1.0,ELEMENTARY,0.0
2892,1.0,1.0,4.0,ELEMENTARY,0.0
2897,1.0,54.0,1.0,ELEMENTARY,0.0
2898,2.0,6.0,5.0,ELEMENTARY,0.0
2906,1.0,57.0,4.0,ELEMENTARY,0.0
2907,1.0,23.0,3.0,ELEMENTARY,0.0
2912,1.0,40.0,4.0,ELEMENTARY,0.0
2921,2.0,25.0,3.0,ELEMENTARY,0.0
2926,2.0,13.0,4.0,ELEMENTARY,0.0
2928,2.0,46.0,4.0,ELEMENTARY,0.0
2945,1.0,58.0,3.0,ELEMENTARY,0.0
2948,1.0,14.0,4.0,ELEMENTARY,0.0
2949,1.0,62.0,1.0,ELEMENTARY,0.0
2950,2.0,4.0,1.0,ELEMENTARY,0.0
2954,1.0,59.0,1.0,ELEMENTARY,0.0
2962,1.0,59.0,3.0,ELEMENTARY,0.0
2977,2.0,65.0,1.0,ELEMENTARY,0.0
2979,2.0,33.0,1.0,ELEMENTARY,0.0
2983,1.0,7.0,1.0,ELEMENTARY,0.0
2985,2.0,122.0,3.0,ELEMENTARY,0.0
2988,2.0,41.0,3.0,ELEMENTARY,0.0
3012,1.0,15.0,1.0,ELEMENTARY,0.0
3022,2.0,9.0,1.0,ELEMENTARY,0.0
3026,2.0,22.0,1.0,ELEMENTARY,0.0
3032,2.0,882.0,3.0,HIGHSCHOOL,1.0
3033,1.0,10.0,1.0,ELEMENTARY,0.0
3050,2.0,65.0,4.0,ELEMENTARY,0.0
3051,1.0,12.0,3.0,ELEMENTARY,0.0
3063,2.0,10.0,5.0,ELEMENTARY,0.0
3065,2.0,35.0,4.0,ELEMENTARY,0.0
3068,1.0,21.0,1.0,ELEMENTARY,0.0
3070,1.0,8.0,1.0,ELEMENTARY,0.0
3072,1.0,35.0,3.0,ELEMENTARY,0.0
3073,2.0,3.0,1.0,ELEMENTARY,0.0
3074,1.0,69.0,1.0,ELEMENTARY,0.0
3083,1.0,731.0,1.0,ELEMENTARY,0.0
3095,1.0,21.0,3.0,ELEMENTARY,0.0
3102,1.0,31.0,3.0,ELEMENTARY,0.0
3105,2.0,29.0,1.0,ELEMENTARY,0.0
3110,1.0,56.0,3.0,ELEMENTARY,0.0
3111,2.0,59.0,4.0,ELEMENTARY,0.0
3115,1.0,11.0,1.0,ELEMENTARY,0.0
3116,2.0,26.0,3.0,ELEMENTARY,0.0
3117,2.0,769.0,1.0,ELEMENTARY,0.0
3119,1.0,55.0,1.0,ELEMENTARY,0.0
3128,2.0,15.0,3.0,ELEMENTARY,0.0
3131,1.0,54.0,1.0,ELEMENTARY,0.0
3133,1.0,11.0,3.0,ELEMENTARY,0.0
3134,1.0,19.0,1.0,ELEMENTARY,0.0
3135,1.0,441.0,4.0,OTHERS,0.0
3137,2.0,13.0,1.0,ELEMENTARY,0.0
3140,1.0,594.0,3.0,COLLEGE,0.0
3144,2.0,26.0,1.0,ELEMENTARY,0.0
3152,2.0,6.0,3.0,ELEMENTARY,0.0
3158,2.0,203.0,1.0,ELEMENTARY,0.0
3170,1.0,313.0,4.0,COLLEGE,0.0
3181,2.0,14.0,4.0,ELEMENTARY,0.0
3188,1.0,63.0,3.0,ELEMENTARY,0.0
3189,2.0,6.0,2.0,ELEMENTARY,0.0
3194,1.0,31.0,3.0,ELEMENTARY,0.0
3195,2.0,8.0,1.0,ELEMENTARY,0.0
3196,1.0,1.0,4.0,ELEMENTARY,0.0
3197,2.0,18.0,1.0,ELEMENTARY,0.0
3203,2.0,7.0,4.0,ELEMENTARY,0.0
3210,1.0,44.0,3.0,ELEMENTARY,0.0
3215,2.0,30.0,1.0,ELEMENTARY,0.0
3222,2.0,46.0,1.0,ELEMENTARY,0.0
3230,2.0,60.0,1.0,ELEMENTARY,0.0
3235,1.0,13.0,5.0,ELEMENTARY,0.0
3242,2.0,767.0,4.0,ELEMENTARY,0.0
3258,2.0,19.0,1.0,ELEMENTARY,0.0
3259,1.0,35.0,3.0,ELEMENTARY,0.0
3265,2.0,3.0,1.0,ELEMENTARY,0.0
3273,2.0,40.0,4.0,ELEMENTARY,0.0
3277,2.0,1.0,1.0,ELEMENTARY,0.0
3286,2.0,176.0,5.0,ELEMENTARY,0.0
3299,1.0,66.0,3.0,ELEMENTARY,0.0
3301,2.0,14.0,3.0,ELEMENTARY,0.0
3302,1.0,39.0,4.0,ELEMENTARY,0.0
3309,1.0,26.0,4.0,ELEMENTARY,0.0
3313,1.0,31.0,5.0,ELEMENTARY,0.0
3314,1.0,60.0,4.0,ELEMENTARY,0.0
3318,1.0,9.0,3.0,ELEMENTARY,0.0
3319,2.0,16.0,1.0,ELEMENTARY,0.0
3320,1.0,25.0,4.0,ELEMENTARY,0.0
3324,2.0,11.0,3.0,ELEMENTARY,0.0
3326,1.0,23.0,3.0,ELEMENTARY,0.0
3333,2.0,16.0,4.0,ELEMENTARY,0.0
3339,2.0,53.0,3.0,ELEMENTARY,0.0
3344,1.0,12.0,3.0,ELEMENTARY,0.0
3349,2.0,69.0,3.0,ELEMENTARY,0.0
3359,2.0,14.0,3.0,ELEMENTARY,0.0
3362,2.0,16.0,3.0,ELEMENTARY,0.0
3365,2.0,40.0,4.0,ELEMENTARY,0.0
3366,2.0,28.0,3.0,ELEMENTARY,0.0
3367,1.0,59.0,1.0,ELEMENTARY,0.0
3368,1.0,40.0,4.0,ELEMENTARY,0.0
3376,1.0,55.0,4.0,ELEMENTARY,0.0
3384,1.0,64.0,1.0,ELEMENTARY,0.0
3394,2.0,70.0,4.0,ELEMENTARY,0.0
3402,2.0,6.0,3.0,ELEMENTARY,0.0
3406,1.0,5.0,4.0,ELEMENTARY,0.0
3410,1.0,28.0,1.0,ELEMENTARY,0.0
3412,2.0,55.0,1.0,ELEMENTARY,0.0
3418,2.0,54.0,4.0,ELEMENTARY,0.0
3422,2.0,36.0,1.0,ELEMENTARY,0.0
3425,2.0,17.0,3.0,ELEMENTARY,0.0
3426,1.0,571.0,2.0,COLLEGE,0.0
3431,1.0,43.0,4.0,ELEMENTARY,0.0
3433,1.0,67.0,4.0,ELEMENTARY,0.0
3440,2.0,19.0,4.0,ELEMENTARY,0.0
3441,2.0,28.0,3.0,ELEMENTARY,0.0
3449,2.0,16.0,3.0,ELEMENTARY,0.0
3453,2.0,5.397605346934028e-79,3.0,ELEMENTARY,0.0
3458,1.0,67.0,4.0,ELEMENTARY,0.0
3460,2.0,12.0,3.0,ELEMENTARY,0.0
3461,2.0,24.0,3.0,ELEMENTARY,0.0
3462,2.0,40.0,3.0,ELEMENTARY,0.0
3471,1.0,2.0,4.0,ELEMENTARY,0.0
3473,1.0,128.0,4.0,ELEMENTARY,0.0
3474,2.0,55.0,4.0,ELEMENTARY,0.0
3483,2.0,24.0,3.0,ELEMENTARY,0.0
3484,2.0,251.0,2.0,HIGHSCHOOL,0.0
3489,2.0,15.0,1.0,ELEMENTARY,0.0
3499,1.0,19.0,4.0,ELEMENTARY,0.0
3502,1.0,29.0,4.0,ELEMENTARY,0.0
3512,1.0,64.0,3.0,ELEMENTARY,0.0
3519,1.0,39.0,3.0,ELEMENTARY,0.0
3524,2.0,5.397605346934028e-79,1.0,ELEMENTARY,0.0
3527,2.0,54.0,1.0,ELEMENTARY,0.0
3528,2.0,4.0,2.0,ELEMENTARY,0.0
3530,2.0,54.0,1.0,ELEMENTARY,0.0
3531,2.0,22.0,1.0,ELEMENTARY,0.0
3532,2.0,145.0,1.0,ELEMENTARY,0.0
3533,1.0,10.0,4.0,ELEMENTARY,0.0
3537,1.0,962.0,3.0,ELEMENTARY,1.0
3539,2.0,10.0,1.0,ELEMENTARY,0.0
3541,1.0,37.0,1.0,ELEMENTARY,0.0
3543,1.0,47.0,2.0,ELEMENTARY,0.0
3549,1.0,57.0,2.0,ELEMENTARY,0.0
3551,2.0,61.0,3.0,ELEMENTARY,0.0
3552,2.0,45.0,1.0,ELEMENTARY,0.0
3553,2.0,57.0,1.0,ELEMENTARY,0.0
3555,1.0,31.0,4.0,ELEMENTARY,0.0
3559,2.0,204.0,3.0,ELEMENTARY,0.0
3561,1.0,59.0,4.0,ELEMENTARY,0.0
3564,1.0,4.0,1.0,ELEMENTARY,0.0
3566,2.0,5.0,1.0,ELEMENTARY,0.0
3567,2.0,981.0,3.0,HIGHSCHOOL,1.0
3568,1.0,21.0,1.0,ELEMENTARY,0.0
3574,2.0,28.0,2.0,ELEMENTARY,0.0
3575,2.0,10.0,1.0,ELEMENTARY,0.0
3579,2.0,67.0,1.0,ELEMENTARY,0.0
3581,2.0,29.0,4.0,ELEMENTARY,0.0
3582,1.0,960.0,1.0,ELEMENTARY,1.0
3594,2.0,51.0,5.0,ELEMENTARY,0.0
3598,1.0,14.0,1.0,ELEMENTARY,0.0
3605,2.0,4.0,5.0,ELEMENTARY,0.0
3609,2.0,66.0,1.0,ELEMENTARY,0.0
3611,2.0,5.397605346934028e-79,3.0,ELEMENTARY,0.0
3614,1.0,62.0,4.0,ELEMENTARY,0.0
3619,1.0,6.0,1.0,ELEMENTARY,0.0
3622,1.0,26.0,1.0,ELEMENTARY,0.0
3625,2.0,272.0,1.0,ELEMENTARY,0.0
3628,2.0,45.0,5.0,ELEMENTARY,0.0
3631,1.0,44.0,3.0,ELEMENTARY,0.0
3637,2.0,9.0,1.0,ELEMENTARY,0.0
3638,2.0,5.397605346934028e-79,1.0,ELEMENTARY,0.0
3640,1.0,41.0,4.0,ELEMENTARY,0.0
3645,1.0,12.0,1.0,ELEMENTARY,0.0
3664,2.0,60.0,1.0,ELEMENTARY,0.0
3673,1.0,4.0,3.0,ELEMENTARY,0.0
3675,2.0,152.0,3.0,ELEMENTARY,0.0
3677,2.0,5.397605346934028e-79,1.0,ELEMENTARY,0.0
3679,1.0,53.0,4.0,ELEMENTARY,0.0
3682,2.0,2.0,1.0,ELEMENTARY,0.0
3683,2.0,9.0,1.0,ELEMENTARY,0.0
3689,1.0,1009.0,3.0,ELEMENTARY,1.0
3696,2.0,300.0,1.0,ELEMENTARY,0.0
3702,1.0,53.0,5.0,ELEMENTARY,0.0
3709,2.0,84.0,5.0,ELEMENTARY,0.0
3713,2.0,62.0,4.0,ELEMENTARY,0.0
3720,2.0,39.0,3.0,ELEMENTARY,0.0
3725,1.0,15.0,1.0,ELEMENTARY,0.0
3726,2.0,176.0,2.0,ELEMENTARY,0.0
3734,1.0,14.0,4.0,ELEMENTARY,0.0
3745,2.0,55.0,3.0,ELEMENTARY,0.0
3749,1.0,14.0,3.0,ELEMENTARY,0.0
3751,1.0,37.0,3.0,ELEMENTARY,0.0
3756,2.0,150.0,1.0,ELEMENTARY,0.0
3763,2.0,845.0,4.0,ELEMENTARY,0.0
3764,1.0,1.0,1.0,ELEMENTARY,0.0
3767,2.0,64.0,4.0,ELEMENTARY,0.0
3768,2.0,29.0,1.0,ELEMENTARY,0.0
3769,1.0,2.0,1.0,ELEMENTARY,0.0
3771,2.0,64.0,1.0,ELEMENTARY,0.0
3773,1.0,5.0,3.0,ELEMENTARY,0.0
3782,2.0,2.0,1.0,ELEMENTARY,0.0
3789,2.0,24.0,2.0,ELEMENTARY,0.0
3794,2.0,415.0,3.0,COLLEGE,0.0
3804,1.0,22.0,2.0,ELEMENTARY,0.0
3805,1.0,11.0,1.0,ELEMENTARY,0.0
3809,2.0,62.0,1.0,ELEMENTARY,0.0
3813,2.0,6.0,1.0,ELEMENTARY,0.0
3815,2.0,33.0,1.0,ELEMENTARY,0.0
3816,2.0,41.0,3.0,ELEMENTARY,0.0
3821,2.0,28.0,1.0,ELEMENTARY,0.0
3830,2.0,13.0,2.0,ELEMENTARY,0.0
3831,2.0,18.0,3.0,ELEMENTARY,0.0
3832,1.0,67.0,4.0,ELEMENTARY,0.0
3836,2.0,7.0,2.0,ELEMENTARY,0.0
3837,2.0,37.0,2.0,ELEMENTARY,0.0
3841,2.0,2.0,5.0,ELEMENTARY,0.0
3842,2.0,25.0,1.0,ELEMENTARY,0.0
3851,2.0,21.0,4.0,ELEMENTARY,0.0
3873,1.0,45.0,4.0,ELEMENTARY,0.0
3884,1.0,61.0,1.0,ELEMENTARY,0.0
3887,1.0,11.0,3.0,ELEMENTARY,0.0
3889,1.0,6.0,2.0,ELEMENTARY,0.0
3893,1.0,13.0,1.0,ELEMENTARY,0.0
3899,1.0,7.0,1.0,ELEMENTARY,0.0
3901,2.0,66.0,2.0,ELEMENTARY,0.0
3903,1.0,24.0,4.0,ELEMENTARY,0.0
3904,2.0,561.0,3.0,OTHERS,0.0
3905,2.0,886.0,3.0,OTHERS,1.0
3910,1.0,15.0,1.0,ELEMENTARY,0.0
3912,1.0,51.0,1.0,ELEMENTARY,0.0
3916,2.0,23.0,3.0,ELEMENTARY,0.0
3917,2.0,6.0,1.0,ELEMENTARY,0.0
3927,1.0,5.0,3.0,ELEMENTARY,0.0
3932,1.0,9.0,4.0,ELEMENTARY,0.0
3933,1.0,27.0,1.0,ELEMENTARY,0.0
3937,1.0,31.0,3.0,ELEMENTARY,0.0
3939,1.0,802.0,3.0,ELEMENTARY,0.0
3941,2.0,58.0,1.0,ELEMENTARY,0.0
3947,1.0,5.397605346934028e-79,1.0,ELEMENTARY,0.0
3958,2.0,384.0,3.0,COLLEGE,0.0
3966,2.0,5.0,3.0,ELEMENTARY,0.0
3969,1.0,138.0,3.0,ELEMENTARY,0.0
3976,1.0,34.0,3.0,ELEMENTARY,0.0
3977,2.0,1.0,1.0,ELEMENTARY,0.0
3978,2.0,132.0,1.0,ELEMENTARY,0.0
3979,1.0,37.0,2.0,ELEMENTARY,0.0
3991,2.0,68.0,2.0,ELEMENTARY,0.0
3997,2.0,311.0,1.0,ELEMENTARY,0.0
4002,2.0,15.0,1.0,ELEMENTARY,0.0
4013,2.0,21.0,4.0,ELEMENTARY,0.0
4014,2.0,52.0,2.0,ELEMENTARY,0.0
4018,1.0,52.0,1.0,ELEMENTARY,0.0
4023,1.0,334.0,3.0,OTHERS,0.0
4029,2.0,1068.0,4.0,ELEMENTARY,1.0
4031,2.0,23.0,4.0,ELEMENTARY,0.0
4037,2.0,33.0,1.0,ELEMENTARY,0.0
4043,1.0,38.0,1.0,ELEMENTARY,0.0
4049,2.0,63.0,2.0,ELEMENTARY,0.0
4052,2.0,30.0,1.0,ELEMENTARY,0.0
4055,1.0,33.0,3.0,ELEMENTARY,0.0
4065,1.0,11.0,3.0,ELEMENTARY,0.0
4066,1.0,7.0,5.0,ELEMENTARY,0.0
4067,1.0,35.0,4.0,ELEMENTARY,0.0
